StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,16,0,0,4,9.923518522022306,29.03436410974569,0,2,0,0,0,1,1.81,4
1002,18,0,0,3,16.4944632815384,25.41472371009323,0,3,0,1,0,0,1.06,4
1003,17,1,2,1,,9.292756897758618,0,4,1,0,0,1,2.49,3
1004,17,0,2,2,2.047889255863531,5.8864695351088585,0,1,1,0,1,1,1.38,4
1005,15,0,0,1,1.230114729172771,16.443601949454553,1,3,1,0,0,0,2.18,3
1006,15,0,0,2,1.0266874264735515,13.590442511405653,0,1,1,1,0,0,2.06,3
1007,15,1,0,3,7.603002839153399,26.33275026578199,1,4,1,0,0,0,1.4,4
1008,18,1,3,3,6.744755016716841,3.0009501320146112,1,3,0,1,0,1,2.75,2
1009,17,0,0,1,14.358740472451391,7.732201839345558,1,1,0,0,0,0,1.74,4
1010,17,0,0,4,14.856430031697316,22.553968335561258,1,2,0,0,1,0,3.24,1
1011,15,0,0,2,1.0170793766747965,2.849599349319364,0,3,0,0,0,0,1.13,4
1012,18,0,0,1,4.422465257780299,9.622932420651006,1,3,1,1,0,0,2.27,3
1013,18,1,0,2,5.4852370031779945,11.614661821619494,0,2,0,1,0,1,1.66,4
1014,15,1,2,2,10.952239682856188,18.6778138968807,0,4,1,0,0,0,1.3,4
1015,15,0,0,2,2.8903044781390053,4.743979371580938,1,3,0,1,0,0,2.69,2
1016,15,0,1,2,2.6788243880000073,25.818134710491286,1,3,1,0,0,0,0.98,4
1017,16,1,0,2,18.875777784159162,13.426267063988227,1,1,0,1,0,0,1.21,4
1018,17,0,0,1,16.08405814595562,27.510651356416695,1,4,0,1,0,0,0.0,4
1019,16,1,3,3,3.613098041823406,14.036097409017948,1,1,1,1,0,0,0.98,4
1020,16,0,0,2,8.131356158109819,8.251207768222,1,3,0,1,0,0,3.3,1
1021,17,0,2,1,7.112439985151311,4.254864860630247,1,4,0,0,0,0,3.28,1
1022,15,0,1,3,15.820081481308145,0.1123528413385444,0,2,0,0,1,0,2.09,3
1023,16,0,0,4,10.20425832956244,15.964724549545068,1,3,0,0,0,0,1.82,4
1024,16,1,3,4,2.5569947398693404,3.2147009078077025,1,2,0,0,0,0,1.51,4
1025,16,0,0,1,14.779841263124878,11.751832908935347,1,3,1,0,0,1,1.48,4
1026,18,0,2,1,7.9377595644983785,17.678152837112602,0,3,0,0,0,0,1.08,4
1027,15,0,0,2,,8.270576907081008,0,4,0,0,0,0,2.76,2
1028,17,0,2,1,7.509972440414403,5.256728770983457,0,4,0,0,0,1,2.6,2
1029,17,0,0,4,9.955131272137926,23.24164867828025,1,3,1,0,0,0,2.19,3
1030,15,0,1,1,6.862310328340189,28.403735168448616,0,3,1,0,1,1,0.54,4
1031,17,1,2,1,4.838115451835156,3.01321253585898,0,3,0,1,1,1,2.15,3
1032,15,0,3,2,7.970040576079606,4.667709731550236,0,2,0,0,0,0,0.23,4
1033,15,0,3,1,0.38345821499796484,28.80037971758156,1,3,0,1,0,0,1.93,4
1034,18,1,2,3,15.449956921926278,1.1335266543673883,1,4,1,0,0,0,3.1,1
1035,18,0,2,2,,29.328970096514166,1,2,1,0,0,0,0.28,4
1036,18,1,0,1,0.8780922726127449,,0,2,1,0,0,1,3.1,1
1037,16,0,0,1,13.073973858101585,26.21005966953994,0,2,0,0,0,1,0.46,4
1038,15,1,0,2,15.478722576473444,9.219755429632485,0,2,0,0,0,0,2.84,2
1039,17,1,0,1,16.276582631856865,28.157665745318894,0,1,0,0,0,0,2.39,3
1040,16,1,0,2,9.870183653211999,9.508358659067564,1,2,0,0,0,0,1.18,4
1041,15,1,1,2,4.107363693799706,19.62918964602168,0,2,0,0,0,0,1.46,4
1042,16,0,0,3,14.744553544996535,2.400977092978099,0,3,0,1,0,0,1.32,4
1043,15,1,1,4,13.994261543086743,7.26989434361217,0,2,1,0,0,1,0.15,4
1044,18,0,0,4,4.925414682063465,23.210380394377523,0,3,0,0,0,0,0.67,4
1045,15,0,0,4,18.06815511725586,15.860575610364592,1,4,1,0,1,0,2.23,3
1046,17,0,0,1,2.08742916165658,27.839071853611344,0,4,0,0,0,0,1.84,4
1047,16,1,2,1,19.653764791826514,12.862542250240628,1,3,1,1,0,0,2.88,2
1048,17,0,2,1,17.20495621954929,26.094370974417693,0,0,1,0,0,0,2.09,3
1049,17,1,1,3,13.757972909581504,13.468663124347126,0,4,1,0,0,0,1.59,4
1050,15,1,0,4,18.77499776559666,29.377448361059557,0,3,1,0,0,0,1.83,4
1051,18,1,1,3,14.446223366474156,28.7950314419663,0,2,1,0,1,0,1.21,4
1052,18,1,0,1,3.8091399406009185,9.87410116668241,1,1,0,0,0,0,0.74,4
1053,18,0,0,4,8.843122762256234,26.577710112504096,0,1,0,1,0,0,1.09,4
1054,18,0,0,2,1.4300604866327071,25.428341226469477,0,1,1,0,0,0,1.22,4
1055,17,0,0,0,7.7931484457623075,6.320411919826885,0,0,1,0,0,1,1.47,4
1056,18,0,0,2,14.832060394744174,18.72871202349809,0,4,1,0,1,0,2.1,3
1057,15,0,3,0,7.728867018616348,2.180469467694446,1,3,0,0,0,0,2.84,2
1058,15,0,3,2,6.605883509362682,25.10132161750385,0,3,0,0,1,0,1.21,4
1059,15,0,0,1,11.907114450206237,5.2363765051048965,0,4,1,0,0,0,1.42,4
1060,16,1,0,2,17.4440905799779,2.1244410415729353,1,3,1,0,1,0,3.38,1
1061,16,1,0,2,0.9516638509222486,12.006572866164335,0,4,0,0,0,0,1.84,4
1062,16,0,0,3,7.709408693994709,17.307664157989304,0,4,0,0,0,0,2.17,3
1063,18,1,3,2,3.164814836305254,25.64750875679313,0,2,0,0,0,0,1.79,4
1064,16,0,0,2,13.907085014637392,29.227275765652095,0,4,0,0,0,0,2.37,3
1065,16,0,2,3,2.1144912086226975,13.18477537709591,1,3,0,0,0,0,1.72,4
1066,17,1,0,4,13.296155171604891,1.8134076895581064,0,1,0,0,0,1,4.0,0
1067,15,0,3,1,5.723617415958147,22.47346737077612,1,3,1,0,0,1,0.73,4
1068,18,0,0,2,3.978336274744494,16.955197686718122,0,3,0,1,0,0,1.18,4
1069,15,1,2,1,18.72705115649971,13.436740345333893,1,4,0,1,0,0,3.56,0
1070,18,1,0,0,0.37049153491911735,9.27806636376569,0,2,1,1,0,0,1.69,4
1071,18,1,1,2,8.75554543779138,15.07195583530607,0,3,1,1,0,0,2.62,2
1072,15,1,0,3,0.43253984923587563,10.160388133710928,0,0,1,1,0,0,1.54,4
1073,15,1,0,1,9.67186096208658,22.71035603242081,0,2,0,1,0,0,2.88,2
1074,18,0,3,3,10.020947555888364,16.31681089477923,1,1,1,1,1,0,1.23,4
1075,17,0,3,3,6.433249427894941,26.30543322462336,1,3,0,1,0,0,2.75,2
1076,17,0,2,4,2.6432355505004734,16.306317439483262,0,4,1,0,1,0,2.62,2
1077,18,0,1,1,7.527750754689507,7.147872400197901,0,2,1,0,0,1,1.08,4
1078,15,1,2,4,13.44525879865132,25.532756466964337,0,3,0,1,0,0,2.52,2
1079,16,0,0,1,15.647916172889182,16.71657134790132,1,2,0,0,0,1,2.33,3
1080,15,1,0,2,10.615012047762846,6.205231144306838,1,1,0,1,0,1,1.78,4
1081,18,1,0,0,11.796687888795113,18.705234298686662,0,3,1,0,0,0,0.58,4
1082,17,1,1,0,4.012327422493054,10.731502948272826,1,1,0,0,0,0,0.91,4
1083,16,1,0,3,5.7466066645529885,25.332168368761973,1,3,1,1,0,0,2.27,3
1084,15,1,0,2,3.2379122010471684,13.598992159396285,0,0,0,1,1,0,2.13,3
1085,16,0,1,1,4.985907000092227,21.7932407432225,1,1,0,0,1,0,1.37,4
1086,16,1,2,1,4.497735604510636,2.8660862290871147,0,3,1,1,0,0,2.7,2
1087,17,0,0,2,10.388975727824752,11.880730389070385,0,3,1,1,0,0,2.95,2
1088,17,1,0,0,11.253775115814587,29.49724309417196,0,0,1,0,0,0,1.7,4
1089,18,0,0,3,18.89894841643009,24.25380868431445,0,3,0,0,0,0,1.77,4
1090,16,1,0,0,3.911412942030461,4.798224071007859,0,4,0,0,0,0,2.33,3
